_id,x_axis,y_axis,z_axis,target
5f32ebba6702134a853640bb,-1.03125,-1.421875,15.5,0
5f32ebba6702134a853640bc,-0.90625,-1.328125,15.390625,0
5f32ebba6702134a853640bd,-0.40625,-1.265625,15.734375,0
5f32ebba6702134a853640be,-0.875,-1.46875,15.578125,0
5f32ebba6702134a853640bf,-1.015625,-1.078125,15.375,0
5f32ebba6702134a853640c0,-0.828125,-1.234375,15.65625,0
5f32ebba6702134a853640c1,-0.859375,-1.46875,15.640625,0
5f32ebba6702134a853640c2,-0.953125,-0.921875,15.5,0
5f32ebba6702134a853640c3,-0.71875,-1.171875,15.734375,0
5f32ebba6702134a853640c4,-1.140625,-1,15.734375,0
5f32ebba6702134a853640c5,-0.984375,-0.359375,15.625,0
5f32ebbb6702134a853640c6,-0.859375,-0.90625,15.53125,0
5f32ebbb6702134a853640c7,-0.828125,-0.984375,15.65625,0
5f32ebbb6702134a853640c8,-0.875,-1.21875,15.53125,0
5f32ebbb6702134a853640c9,-0.8125,-1.671875,15.640625,0
5f32ebbb6702134a853640ca,-0.765625,-1.546875,15.484375,0
5f32ebbb6702134a853640cb,-0.796875,-1.1875,15.625,0
5f32ebbb6702134a853640cc,-0.90625,-1.328125,15.78125,0
5f32ebbb6702134a853640cd,-0.765625,-1.125,15.671875,0
5f32ebbb6702134a853640ce,-0.640625,-1.203125,15.515625,0
5f32ebbb6702134a853640cf,-0.703125,-1.0625,15.640625,0
5f32ebbb6702134a853640d0,-1.09375,-1.34375,15.671875,0
5f32ebbb6702134a853640d2,-0.90625,-1.265625,15.546875,0
5f32ebbb6702134a853640d1,-0.90625,-1.5,15.609375,0
5f32ebbb6702134a853640d3,-0.765625,-0.890625,15.71875,0
5f32ebbb6702134a853640d4,-0.84375,-1.328125,15.734375,0
5f32ebbc6702134a853640d5,-0.796875,-1.0625,15.703125,0
5f32ebbc6702134a853640d6,-0.59375,-1.8125,15.75,0
5f32ebbc6702134a853640d7,-1.15625,-1.296875,15.46875,0
5f32ebbc6702134a853640d8,-0.796875,-1.25,15.4375,0
5f32ebbc6702134a853640d9,-0.234375,-0.421875,15.5625,0
5f32ebbc6702134a853640da,-0.828125,-1.546875,15.578125,0
5f32ebbc6702134a853640db,-1.125,-1.703125,15.375,0
5f32ebbc6702134a853640dc,-0.671875,-1.671875,15.6875,0
5f32ebbc6702134a853640dd,-0.71875,-2.265625,15.46875,0
5f32ebbc6702134a853640de,-0.8125,-0.734375,15.65625,0
5f32ebbc6702134a853640df,-0.9375,-1.234375,15.765625,0
5f32ebbc6702134a853640e0,-0.609375,-0.890625,15.65625,0
5f32ebbc6702134a853640e1,-0.484375,-0.921875,15.71875,0
5f32ebbc6702134a853640e2,-0.703125,-1.1875,15.671875,0
5f32ebbc6702134a853640e3,-0.953125,-0.296875,15.640625,0
5f32ebbc6702134a853640e4,-0.46875,0.28125,15.671875,0
5f32ebbd6702134a853640e5,-0.703125,-0.140625,15.640625,0
5f32ebbd6702134a853640e6,-0.765625,-0.4375,15.6875,0
5f32ebbd6702134a853640e7,-0.8125,-0.609375,15.625,0
5f32ebbd6702134a853640e8,-0.796875,-0.359375,15.5625,0
5f32ebbd6702134a853640e9,-0.703125,-0.25,15.671875,0
5f32ebbd6702134a853640ea,-0.234375,-0.171875,15.625,0
5f32ebbd6702134a853640eb,-0.65625,0.515625,15.75,0
5f32ebbd6702134a853640ec,-1.296875,-1.71875,15.625,0
5f32ebbd6702134a853640ed,-1.625,-0.515625,15.078125,0
5f32ebbd6702134a853640ee,-1.1875,1.296875,15.53125,0
5f32ebbd6702134a853640ef,-1.21875,1.265625,15.71875,0
5f32ebbd6702134a853640f0,-1.46875,-0.140625,15.234375,0
5f32ebbd6702134a853640f1,-0.28125,1.234375,15.421875,0
5f32ebbd6702134a853640f2,-1.515625,2.375,15.125,0
5f32ebbd6702134a853640f3,-1.75,-0.21875,15.484375,0
5f32ebbe6702134a853640f4,-0.578125,-2.078125,15.609375,0
5f32ebbe6702134a853640f5,-0.5625,-2.484375,16.484375,0
5f32ebbe6702134a853640f6,-1.203125,-3.8125,16.421875,0
5f32ebbe6702134a853640f7,-0.90625,-3.203125,15.609375,0
5f32ebbe6702134a853640f8,-0.09375,-2.015625,15.171875,0
5f32ebbe6702134a853640f9,-0.5,-1.078125,15.40625,0
5f32ebbe6702134a853640fa,-0.421875,-2.578125,15.109375,0
5f32ebbe6702134a853640fb,0.1875,-1.140625,15.265625,0
5f32ebbe6702134a853640fc,-0.25,0.1875,14.875,0
5f32ebbe6702134a853640fd,0.4375,-1.890625,14.75,0
5f32ebbe6702134a853640fe,-0.890625,-1.671875,16.46875,0
5f32ebbe6702134a853640ff,-0.71875,-2.15625,15.46875,0
5f32ebbe6702134a85364100,-0.6875,-0.6875,15.375,0
5f32ebbe6702134a85364101,-1.171875,-0.0625,15.578125,0
5f32ebbe6702134a85364102,-1.109375,-0.515625,15.390625,0
5f32ebbf6702134a85364103,-0.53125,-0.703125,15.6875,0
5f32ebbf6702134a85364104,-0.359375,-0.796875,15.671875,0
5f32ebbf6702134a85364105,-0.453125,-1.296875,15.65625,0
5f32ebbf6702134a85364106,-0.90625,-1.671875,15.46875,0
5f32ebbf6702134a85364107,-0.984375,-1.484375,15.640625,0
5f32ebbf6702134a85364108,-0.8125,-1.25,15.828125,0
5f32ebbf6702134a85364109,-0.828125,-1.21875,15.515625,0
5f32ebbf6702134a8536410a,-0.984375,-1.15625,15.3125,0
5f32ebbf6702134a8536410b,-0.75,0.078125,15.46875,0
5f32ebbf6702134a8536410c,-0.34375,0.46875,15.671875,0
5f32ebbf6702134a8536410d,-0.875,0.046875,15.984375,0
5f32ebbf6702134a8536410e,-1.03125,-1.171875,16.421875,0
5f32ebbf6702134a8536410f,-0.984375,-2.296875,15.859375,0
5f32ebbf6702134a85364110,-0.609375,-2.453125,15.484375,0
5f32ebbf6702134a85364111,-0.125,-0.328125,15.640625,0
5f32ebbf6702134a85364112,0.328125,-0.703125,15.375,0
5f32ebc06702134a85364113,0.671875,-0.390625,14.703125,0
5f32ebc06702134a85364114,0.015625,1.125,14.46875,0
5f32ebc06702134a85364115,-0.1875,2.4375,15.046875,0
5f32ebc06702134a85364116,-0.59375,3.203125,15.453125,0
5f32ebc06702134a85364117,-1.046875,2.625,15.25,0
5f32ebc06702134a85364118,-1.09375,3.546875,15.171875,0
5f32ebc06702134a85364119,-1.359375,3.75,15.171875,0
5f32ebc06702134a8536411a,-0.578125,4.25,16.234375,0
5f32ebc06702134a8536411b,-1.765625,1.328125,16.171875,0
5f32ebc06702134a8536411c,-0.8125,2.0625,14.59375,0
5f32ebc06702134a8536411d,-2.25,1.546875,14.578125,0
5f32ebc06702134a8536411e,-0.203125,2.453125,13.328125,0
5f32ebc06702134a8536411f,-1.3125,6.25,18.375,0
5f32ebc06702134a85364120,6.515625,0.6875,15.765625,0
5f32ebc06702134a85364121,-0.21875,0.140625,16.53125,0
5f32ebc16702134a85364122,-5.71875,-1,15.078125,0
5f32ebc16702134a85364123,-8.453125,-3.265625,14.15625,0
5f32ebc16702134a85364124,-10.59375,1.09375,11.4375,0
5f32ebc16702134a85364125,-13.71875,2.921875,10.15625,0
5f32ebc16702134a85364126,-12.296875,2.359375,10,0
