_id,x_axis,y_axis,z_axis,target
5f319aede71f4c38d22bdf01,-1.046875,-2.171875,15.515625,0
5f319aede71f4c38d22bdf02,-1.125,-2.15625,15.5625,0
5f319aede71f4c38d22bdf03,-1.296875,-1.984375,15.515625,0
5f319aede71f4c38d22bdf04,-1.171875,-2.296875,15.390625,0
5f319aede71f4c38d22bdf05,-1.234375,-2.234375,15.46875,0
5f319aede71f4c38d22bdf06,-1.15625,-2.375,15.484375,0
5f319aede71f4c38d22bdf07,-1.015625,-2.453125,15.4375,0
5f319aede71f4c38d22bdf08,-1.21875,-2.09375,15.203125,0
5f319aede71f4c38d22bdf09,-1.1875,-2.03125,15.46875,0
5f319aede71f4c38d22bdf0a,-1.453125,-2.203125,15.59375,0
5f319aede71f4c38d22bdf0b,-0.609375,-1.65625,15.65625,0
5f319aede71f4c38d22bdf0c,-1.4375,-2.375,15.390625,0
5f319aeee71f4c38d22bdf0d,-1.65625,-2.390625,15.40625,0
5f319aeee71f4c38d22bdf0e,-0.765625,-1.890625,15.453125,0
5f319aeee71f4c38d22bdf0f,-1.0625,-2.140625,15.515625,0
5f319aeee71f4c38d22bdf10,-1.15625,-2.46875,15.609375,0
5f319aeee71f4c38d22bdf11,-1.203125,-2.046875,15.546875,0
5f319aeee71f4c38d22bdf12,-1.109375,-2.28125,15.4375,0
5f319aeee71f4c38d22bdf13,-1.078125,-2.234375,15.5,0
5f319aeee71f4c38d22bdf14,-1.25,-2.234375,15.546875,0
5f319aeee71f4c38d22bdf15,-1.34375,-2.921875,15.3125,0
5f319aeee71f4c38d22bdf16,-0.953125,-2.359375,15.484375,0
5f319aeee71f4c38d22bdf17,-0.875,-1.96875,15.453125,0
5f319aeee71f4c38d22bdf18,-1.03125,-1.890625,15.5,0
5f319aeee71f4c38d22bdf19,-1.1875,-2.03125,15.40625,0
5f319aeee71f4c38d22bdf1a,-1.234375,-2.046875,15.3125,0
5f319aeee71f4c38d22bdf1b,-1.140625,-2.078125,15.296875,0
5f319aeee71f4c38d22bdf1c,-1.125,-2.015625,15.484375,0
5f319aefe71f4c38d22bdf1d,-1.140625,-1.765625,15.46875,0
5f319aefe71f4c38d22bdf1e,-1.046875,-1.984375,15.5,0
5f319aefe71f4c38d22bdf1f,-0.90625,-2.140625,15.53125,0
5f319aefe71f4c38d22bdf20,-0.9375,-2.046875,15.5625,0
5f319aefe71f4c38d22bdf21,-1.09375,-2.15625,15.34375,0
5f319aefe71f4c38d22bdf22,-1.578125,-2.140625,15.515625,0
5f319aefe71f4c38d22bdf23,-0.75,-1.8125,15.421875,0
5f319aefe71f4c38d22bdf24,-0.34375,-2,15.5,0
5f319aefe71f4c38d22bdf25,-1.28125,-2.234375,15.390625,0
5f319aefe71f4c38d22bdf26,-1.375,-2.421875,15.609375,0
5f319aefe71f4c38d22bdf27,-0.90625,-2.421875,15.546875,0
5f319aefe71f4c38d22bdf28,-1.15625,-2.171875,15.28125,0
5f319aefe71f4c38d22bdf29,-1.15625,-1.609375,15.515625,0
5f319aefe71f4c38d22bdf2a,-1.15625,-1.640625,15.71875,0
5f319aefe71f4c38d22bdf2b,-1.1875,-2.15625,15.484375,0
5f319af0e71f4c38d22bdf2c,-0.953125,-2.125,15.375,0
5f319af0e71f4c38d22bdf2d,-0.84375,-2.046875,15.59375,0
5f319af0e71f4c38d22bdf2e,-1.359375,-2.484375,15.5625,0
5f319af0e71f4c38d22bdf2f,-1.203125,-1.953125,15.3125,0
5f319af0e71f4c38d22bdf30,-0.921875,-1.953125,15.421875,0
5f319af0e71f4c38d22bdf31,-1.015625,-2.25,15.4375,0
5f319af0e71f4c38d22bdf32,-1.046875,-2.078125,15.4375,0
5f319af0e71f4c38d22bdf33,-0.875,-1.96875,15.515625,0
5f319af0e71f4c38d22bdf34,-1.046875,-1.796875,15.46875,0
5f319af0e71f4c38d22bdf35,-1.21875,-2.15625,15.421875,0
5f319af0e71f4c38d22bdf36,-1.0625,-2.296875,15.453125,0
5f319af0e71f4c38d22bdf37,-1.015625,-2.296875,15.40625,0
5f319af0e71f4c38d22bdf38,-0.921875,-2.25,15.265625,0
5f319af0e71f4c38d22bdf39,-0.9375,-2.015625,15.53125,0
5f319af0e71f4c38d22bdf3a,-1,-1.859375,15.53125,0
5f319af1e71f4c38d22bdf3b,-1.109375,-2.21875,15.484375,0
5f319af1e71f4c38d22bdf3c,-1.03125,-2.3125,15.46875,0
5f319af1e71f4c38d22bdf3d,-1.09375,-2.15625,15.390625,0
5f319af1e71f4c38d22bdf3e,-0.96875,-1.96875,15.53125,0
5f319af1e71f4c38d22bdf3f,-0.546875,-1.421875,15.4375,0
5f319af1e71f4c38d22bdf40,-1.3125,-2.203125,15.375,0
5f319af1e71f4c38d22bdf41,-1.3125,-2.484375,15.390625,0
5f319af1e71f4c38d22bdf42,-0.625,-1.75,15.5,0
5f319af1e71f4c38d22bdf43,-1.0625,-2.09375,15.46875,0
5f319af1e71f4c38d22bdf44,-0.828125,-1.65625,15.53125,0
5f319af1e71f4c38d22bdf45,-1.15625,-2.015625,15.453125,0
5f319af1e71f4c38d22bdf46,-1.375,-2.0625,15.484375,0
5f319af1e71f4c38d22bdf47,-1.203125,-2.109375,15.515625,0
5f319af1e71f4c38d22bdf48,-1,-1.875,15.484375,0
5f319af1e71f4c38d22bdf49,-0.9375,-1.65625,15.484375,0
5f319af1e71f4c38d22bdf4a,-0.953125,-1.578125,15.40625,0
5f319af2e71f4c38d22bdf4b,-1.015625,-1.828125,15.421875,0
5f319af2e71f4c38d22bdf4c,-1.15625,-2.171875,15.5625,0
5f319af2e71f4c38d22bdf4d,-1.109375,-2.4375,15.46875,0
5f319af2e71f4c38d22bdf4e,-1.15625,-2.015625,15.5625,0
5f319af2e71f4c38d22bdf4f,-0.859375,-1.9375,15.484375,0
5f319af2e71f4c38d22bdf50,-1.046875,-1.90625,15.359375,0
5f319af2e71f4c38d22bdf51,-0.984375,-2.09375,15.640625,0
5f319af2e71f4c38d22bdf52,-1.15625,-2.359375,15.53125,0
5f319af2e71f4c38d22bdf53,-0.828125,-1.984375,15.546875,0
5f319af2e71f4c38d22bdf54,-1.03125,-2.0625,15.34375,0
5f319af2e71f4c38d22bdf55,-1.046875,-1.828125,15.390625,0
5f319af2e71f4c38d22bdf56,-0.890625,-2.09375,15.71875,0
5f319af2e71f4c38d22bdf57,-0.953125,-2.25,15.421875,0
5f319af2e71f4c38d22bdf58,-1.203125,-2.109375,15.40625,0
5f319af2e71f4c38d22bdf59,-1.28125,-2.203125,15.484375,0
5f319af3e71f4c38d22bdf5a,-1.015625,-1.84375,15.5,0
5f319af3e71f4c38d22bdf5b,-1.046875,-1.84375,15.28125,0
5f319af3e71f4c38d22bdf5c,-1,-2.015625,15.40625,0
5f319af3e71f4c38d22bdf5d,-1.15625,-2.203125,15.609375,0
5f319af3e71f4c38d22bdf5e,-1.046875,-2.140625,15.296875,0
5f319af3e71f4c38d22bdf5f,-0.984375,-2.109375,15.4375,0
5f319af3e71f4c38d22bdf60,-1.140625,-2.015625,15.28125,0
5f319af3e71f4c38d22bdf61,-1.125,-1.9375,15.25,0
5f319affe71f4c38d22bdf62,-20.625,4.8125,-7.90625,1
5f319affe71f4c38d22bdf63,-17.53125,0.5625,-7.640625,1
5f319affe71f4c38d22bdf64,-16.21875,1.828125,-7.359375,1
5f319affe71f4c38d22bdf65,-15.484375,0,-4.4375,1
5f319affe71f4c38d22bdf66,-11.4375,4.125,-3.671875,1
5f319affe71f4c38d22bdf67,-8.484375,3.84375,1.25,1
5f319affe71f4c38d22bdf68,-21.09375,1.6875,14.5625,1
5f319affe71f4c38d22bdf69,-13.734375,8.109375,9.4375,1
5f319b00e71f4c38d22bdf6a,-19.71875,4,8.0625,1
5f319b00e71f4c38d22bdf6b,-12.78125,0.125,-3.53125,1
5f319b00e71f4c38d22bdf6c,-16.46875,6.296875,-3.90625,1
5f319b00e71f4c38d22bdf6d,-16.59375,-3.734375,-1.84375,1
5f319b00e71f4c38d22bdf6e,-15.640625,-1.375,-0.375,1
5f319b00e71f4c38d22bdf6f,-16.171875,2.1875,-0.28125,1
5f319b00e71f4c38d22bdf70,-15.828125,1.703125,0.96875,1
5f319b00e71f4c38d22bdf71,-16.0625,2.46875,-2.65625,1
5f319b00e71f4c38d22bdf72,-15.453125,0.515625,-1.234375,1
5f319b00e71f4c38d22bdf73,-16.828125,-0.15625,-2.796875,1
5f319b00e71f4c38d22bdf74,-16.3125,2.046875,-2.015625,1
5f319b00e71f4c38d22bdf75,-22.625,-3.296875,1.734375,1
5f319b00e71f4c38d22bdf76,-22.625,4.546875,7.9375,1
5f319b00e71f4c38d22bdf77,-19.6875,4.46875,-6.640625,1
5f319b00e71f4c38d22bdf78,-21.375,0.375,-5.453125,1
5f319b00e71f4c38d22bdf79,-17.328125,-0.578125,-8.140625,1
5f319b01e71f4c38d22bdf7a,-15.546875,-0.875,-6.59375,1
5f319b01e71f4c38d22bdf7b,-11.671875,3.015625,-7.625,1
5f319b01e71f4c38d22bdf7c,-7.125,4.3125,-2.359375,1
5f319b01e71f4c38d22bdf7d,-20.015625,2.546875,11.4375,1
5f319b01e71f4c38d22bdf7e,-14.515625,5.75,14.734375,1
5f319b01e71f4c38d22bdf7f,-21.234375,13.109375,4.703125,1
5f319b01e71f4c38d22bdf80,-13.5625,-5.828125,-8.65625,1
5f319b01e71f4c38d22bdf81,-16.625,7,-6.96875,1
5f319b01e71f4c38d22bdf82,-16.171875,-2.28125,-1.859375,1
5f319b01e71f4c38d22bdf83,-15.609375,0.34375,1.390625,1
5f319b01e71f4c38d22bdf84,-17.59375,-0.15625,-1.40625,1
5f319b01e71f4c38d22bdf85,-15.640625,1.484375,-0.765625,1
5f319b01e71f4c38d22bdf86,-17.03125,1.640625,-2.1875,1
5f319b01e71f4c38d22bdf87,-16.015625,0.578125,0.03125,1
5f319b01e71f4c38d22bdf88,-15.5,2.28125,-3.375,1
5f319b02e71f4c38d22bdf89,-16.53125,0.09375,-3.59375,1
5f319b02e71f4c38d22bdf8a,-17.765625,-1.390625,0.46875,1
5f319b02e71f4c38d22bdf8b,-20.71875,-0.515625,8.515625,1
5f319b02e71f4c38d22bdf8c,-17.3125,4.84375,-0.21875,1
5f319b02e71f4c38d22bdf8d,-22.640625,-0.71875,-7.5625,1
5f319b02e71f4c38d22bdf8e,-17.515625,-7.515625,-8.78125,1
5f319b02e71f4c38d22bdf8f,-16.59375,0.0625,-8.28125,1
5f319b02e71f4c38d22bdf90,-13.03125,-0.8125,-8.359375,1
5f319b02e71f4c38d22bdf91,-9.6875,3.328125,-5.578125,1
5f319b02e71f4c38d22bdf92,-15.75,6.8125,2.953125,1
5f319b02e71f4c38d22bdf93,-14.03125,4.953125,16.4375,1
5f319b02e71f4c38d22bdf94,-12,7.234375,1.890625,1
5f319b02e71f4c38d22bdf95,-32,5.640625,4.828125,1
5f319b02e71f4c38d22bdf96,-15.125,-3.828125,-7.515625,1
5f319b02e71f4c38d22bdf97,-16.71875,1.5,-2.8125,1
5f319b02e71f4c38d22bdf98,-16.5625,1.671875,-1.46875,1
5f319b03e71f4c38d22bdf99,-14.96875,-2.296875,-0.765625,1
5f319b03e71f4c38d22bdf9a,-17.109375,2.140625,-1.328125,1
5f319b03e71f4c38d22bdf9b,-15.03125,1.78125,-2.328125,1
5f319b03e71f4c38d22bdf9c,-16.359375,0.890625,-3.515625,1
5f319b03e71f4c38d22bdf9d,-14.546875,2.203125,-1.625,1
5f319b03e71f4c38d22bdf9e,-17.8125,0.859375,-2.4375,1
5f319b03e71f4c38d22bdf9f,-18,-0.84375,-0.34375,1
5f319b03e71f4c38d22bdfa0,-20.375,1.890625,5.015625,1
5f319b03e71f4c38d22bdfa1,-18.390625,2.390625,2.5,1
5f319b03e71f4c38d22bdfa2,-22.296875,2,-7.859375,1
5f319b03e71f4c38d22bdfa3,-17.921875,-5.890625,-9.34375,1
5f319b03e71f4c38d22bdfa4,-15.390625,2.328125,-9.03125,1
5f319b03e71f4c38d22bdfa5,-14.15625,-2.453125,-9.1875,1
5f319b03e71f4c38d22bdfa6,-9.15625,4.75,-6.78125,1
5f319b03e71f4c38d22bdfa7,-11.890625,5.328125,2.59375,1
5f319b04e71f4c38d22bdfa8,-15.171875,7.46875,16.296875,1
5f319b04e71f4c38d22bdfa9,-12.640625,7.453125,2.203125,1
5f319b04e71f4c38d22bdfaa,-32,-1.59375,13.65625,1
5f319b04e71f4c38d22bdfab,-10.34375,-2.765625,-9.9375,1
5f319b04e71f4c38d22bdfac,-15.609375,5.5,-4.625,1
5f319b04e71f4c38d22bdfad,-17.28125,-2.3125,-3.359375,1
5f319b04e71f4c38d22bdfae,-14.921875,-4.40625,-0.65625,1
5f319b04e71f4c38d22bdfaf,-18.015625,2.296875,-1.96875,1
5f319b04e71f4c38d22bdfb0,-15.65625,0.453125,-2.765625,1
5f319b04e71f4c38d22bdfb1,-17.03125,-3.578125,-1.640625,1
5f319b04e71f4c38d22bdfb2,-13.078125,7.421875,-1.515625,1
5f319b04e71f4c38d22bdfb3,-16.6875,-3.6875,-4.3125,1
5f319b04e71f4c38d22bdfb4,-16.421875,-1.3125,-1.484375,1
5f319b04e71f4c38d22bdfb5,-23,-3.796875,6.109375,1
5f319b04e71f4c38d22bdfb6,-20.421875,7.609375,7.921875,1
5f319b05e71f4c38d22bdfb7,-25.25,1.671875,-10.984375,1
5f319b05e71f4c38d22bdfb8,-18.53125,-2.609375,-8.84375,1
5f319b05e71f4c38d22bdfb9,-16.140625,-0.546875,-8.21875,1
5f319b05e71f4c38d22bdfba,-12.578125,-0.328125,-8.546875,1
5f319b05e71f4c38d22bdfbb,-10.609375,0.1875,-6.1875,1
5f319b05e71f4c38d22bdfbc,-8.546875,3.4375,-0.09375,1
5f319b05e71f4c38d22bdfbd,-15.703125,9.953125,12.125,1
5f319b05e71f4c38d22bdfbe,-14.78125,2.640625,6.3125,1
5f319b05e71f4c38d22bdfbf,-10.34375,-0.53125,-2.21875,1
5f319b05e71f4c38d22bdfc0,-29.71875,-7.03125,6.15625,1
5f319b05e71f4c38d22bdfc1,-13.078125,7.765625,-6.4375,1
5f319b05e71f4c38d22bdfc2,-12.109375,-2.796875,-4.0625,1
5f319b05e71f4c38d22bdfc3,-16.046875,-1.125,-4.4375,1
5f319b05e71f4c38d22bdfc4,-14.5,-3.515625,-2.296875,1
5f319b05e71f4c38d22bdfc5,-16,0.03125,-3.484375,1
5f319b05e71f4c38d22bdfc6,-16.9375,-1.265625,-1.078125,1
5f319b06e71f4c38d22bdfc7,-16.984375,-2.75,-1.8125,1
5f319b06e71f4c38d22bdfc8,-15.15625,-0.03125,-2.171875,1
5f319b06e71f4c38d22bdfc9,-16.015625,-1.03125,-2.890625,1
5f319b06e71f4c38d22bdfca,-19.328125,-4.4375,7.09375,1
5f319b06e71f4c38d22bdfcb,-24.84375,10.109375,3.921875,1
5f319b06e71f4c38d22bdfcc,-20.96875,-9.625,-13.90625,1
5f319b06e71f4c38d22bdfcd,-13.359375,-10.453125,-9,1
5f319b06e71f4c38d22bdfce,-15.59375,-2.546875,-11.171875,1
5f319b06e71f4c38d22bdfcf,-13.21875,-3.84375,-11.125,1
5f319b06e71f4c38d22bdfd0,-11.53125,1.203125,-9.234375,1
5f319b06e71f4c38d22bdfd1,-12.203125,5.359375,-2.734375,1
5f319b06e71f4c38d22bdfd2,-19.421875,2.59375,6.359375,1
5f319b06e71f4c38d22bdfd3,-14.046875,4.5625,7.359375,1
5f319b06e71f4c38d22bdfd4,-20.125,5.59375,-4.21875,1
5f319b06e71f4c38d22bdfd5,-10.53125,-2.5625,-3.609375,1
5f319b07e71f4c38d22bdfd6,-16.71875,-0.40625,-8.15625,1
5f319b07e71f4c38d22bdfd7,-16.28125,6.296875,-4.21875,1
5f319b07e71f4c38d22bdfd8,-16.328125,-2.984375,-2.6875,1
5f319b07e71f4c38d22bdfd9,-15.65625,-1.515625,-5.4375,1
5f319b07e71f4c38d22bdfda,-12.953125,0.625,-4.71875,1
5f319b07e71f4c38d22bdfdb,-15.515625,0.75,-4.71875,1
5f319b07e71f4c38d22bdfdc,-15.8125,-0.515625,-4.203125,1
5f319b07e71f4c38d22bdfdd,-15.09375,0.84375,-4.875,1
5f319b07e71f4c38d22bdfde,-16.625,-1.515625,-4.171875,1
5f319b07e71f4c38d22bdfdf,-17.859375,-3.875,-4.0625,1
5f319b0ee71f4c38d22bdfe0,-15.1875,1.40625,-5.546875,2
5f319b0ee71f4c38d22bdfe1,-14.828125,1.28125,-5.828125,2
5f319b0ee71f4c38d22bdfe2,-14.921875,1.421875,-6.46875,2
5f319b0ee71f4c38d22bdfe3,-14.78125,1.421875,-6.171875,2
5f319b0ee71f4c38d22bdfe4,-14.90625,1.546875,-5.984375,2
5f319b0ee71f4c38d22bdfe5,-15.09375,1.25,-5.796875,2
5f319b0ee71f4c38d22bdfe6,-15.25,1.125,-5.859375,2
5f319b0ee71f4c38d22bdfe7,-14.90625,1.375,-6.140625,2
5f319b0ee71f4c38d22bdfe8,-15.234375,1.09375,-5.734375,2
5f319b0ee71f4c38d22bdfe9,-14.9375,0.9375,-6.21875,2
5f319b0ee71f4c38d22bdfea,-14.9375,1,-6.6875,2
5f319b0fe71f4c38d22bdfec,-15.453125,1.4375,-5.671875,2
5f319b0fe71f4c38d22bdfeb,-15.203125,1.109375,-6.09375,2
5f319b0fe71f4c38d22bdfed,-14.9375,1.078125,-5.828125,2
5f319b0fe71f4c38d22bdfee,-14.96875,1.390625,-6.4375,2
5f319b0fe71f4c38d22bdfef,-15.125,1.359375,-5.9375,2
5f319b0fe71f4c38d22bdff0,-15.234375,1.125,-5.9375,2
5f319b0fe71f4c38d22bdff1,-15.21875,1.265625,-5.640625,2
5f319b0fe71f4c38d22bdff2,-14.90625,1.328125,-5.703125,2
5f319b0fe71f4c38d22bdff4,-15.375,1.21875,-6.015625,2
5f319b0fe71f4c38d22bdff3,-14.921875,1.0625,-5.953125,2
5f319b0fe71f4c38d22bdff5,-15.109375,1.21875,-5.6875,2
5f319b0fe71f4c38d22bdff6,-14.984375,1.171875,-5.8125,2
5f319b0fe71f4c38d22bdff7,-15.109375,1.5,-6.234375,2
5f319b0fe71f4c38d22bdff8,-15.046875,1.21875,-6.34375,2
5f319b10e71f4c38d22bdffa,-15.21875,1.34375,-5.21875,2
5f319b0fe71f4c38d22bdff9,-15.140625,1.0625,-5.203125,2
5f319b10e71f4c38d22bdffb,-15.140625,1.3125,-5.515625,2
5f319b10e71f4c38d22bdffc,-15.0625,1.390625,-5.796875,2
5f319b10e71f4c38d22bdffd,-14.984375,1.171875,-5.640625,2
5f319b10e71f4c38d22bdffe,-15.203125,1.453125,-5.453125,2
5f319b10e71f4c38d22bdfff,-15.453125,1.359375,-5.203125,2
5f319b10e71f4c38d22be000,-15.0625,1.640625,-5.703125,2
5f319b10e71f4c38d22be001,-15.296875,1.0625,-5.46875,2
5f319b10e71f4c38d22be002,-15.296875,1.3125,-5.5625,2
5f319b10e71f4c38d22be003,-15.34375,1.4375,-5.515625,2
5f319b10e71f4c38d22be004,-15.453125,1.265625,-5.625,2
5f319b10e71f4c38d22be005,-15.09375,1.296875,-5.25,2
5f319b10e71f4c38d22be006,-15.21875,1.359375,-5.46875,2
5f319b10e71f4c38d22be009,-15.25,1.53125,-5.3125,2
5f319b10e71f4c38d22be008,-15.1875,1.4375,-5.46875,2
5f319b10e71f4c38d22be007,-15.359375,1.140625,-5.671875,2
5f319b11e71f4c38d22be00a,-15.40625,1.28125,-5.265625,2
5f319b11e71f4c38d22be00b,-15.46875,1.34375,-5.03125,2
5f319b11e71f4c38d22be00c,-15.265625,1.265625,-5.484375,2
5f319b11e71f4c38d22be00d,-15.125,1.46875,-5.59375,2
5f319b11e71f4c38d22be00e,-15.171875,1.234375,-5.453125,2
5f319b11e71f4c38d22be00f,-15.21875,1.453125,-5.578125,2
5f319b11e71f4c38d22be010,-15.1875,1.46875,-5.4375,2
5f319b11e71f4c38d22be011,-15.34375,1.3125,-4.9375,2
5f319b11e71f4c38d22be012,-15.296875,1.359375,-5.390625,2
5f319b11e71f4c38d22be013,-15.125,1.375,-5.828125,2
5f319b11e71f4c38d22be014,-15.171875,1.203125,-5.703125,2
5f319b11e71f4c38d22be015,-14.984375,1.296875,-5.796875,2
5f319b11e71f4c38d22be016,-15.25,1.234375,-5.546875,2
5f319b11e71f4c38d22be017,-15.0625,1.265625,-5.9375,2
5f319b11e71f4c38d22be018,-14.96875,1.375,-5.46875,2
5f319b12e71f4c38d22be019,-15.171875,1.59375,-5.4375,2
5f319b12e71f4c38d22be01a,-15.234375,1.53125,-5.59375,2
5f319b12e71f4c38d22be01b,-15.140625,1.6875,-5.921875,2
5f319b12e71f4c38d22be01c,-15.015625,1.546875,-6.109375,2
5f319b12e71f4c38d22be01d,-14.953125,1.390625,-5.671875,2
5f319b12e71f4c38d22be01e,-14.96875,1.6875,-5.703125,2
5f319b12e71f4c38d22be01f,-15.25,1.234375,-5.5625,2
5f319b12e71f4c38d22be020,-15.09375,1.46875,-5.453125,2
5f319b12e71f4c38d22be021,-14.9375,1.1875,-5.28125,2
5f319b12e71f4c38d22be022,-15.171875,1.34375,-5.6875,2
5f319b12e71f4c38d22be023,-15.40625,1.4375,-5.703125,2
5f319b12e71f4c38d22be024,-15.0625,1.53125,-5.640625,2
5f319b12e71f4c38d22be025,-15,1.375,-5.875,2
5f319b12e71f4c38d22be026,-15.1875,1.109375,-5.984375,2
5f319b12e71f4c38d22be027,-14.9375,1.34375,-5.90625,2
5f319b13e71f4c38d22be028,-15.1875,1.28125,-5.5,2
5f319b13e71f4c38d22be029,-15.125,1.390625,-5.515625,2
5f319b13e71f4c38d22be02a,-15.21875,1.28125,-6,2
5f319b13e71f4c38d22be02b,-15.359375,1.234375,-5.65625,2
5f319b13e71f4c38d22be02c,-15.03125,1.484375,-5.09375,2
5f319b13e71f4c38d22be02d,-15.03125,1.453125,-5.671875,2
5f319b13e71f4c38d22be02e,-15.046875,1.34375,-5.984375,2
5f319b13e71f4c38d22be02f,-15.3125,1.21875,-5.78125,2
5f319b13e71f4c38d22be030,-15.609375,1.3125,-5.234375,2
5f319b13e71f4c38d22be031,-15.09375,1.453125,-5.296875,2
5f319b13e71f4c38d22be032,-15.125,1.515625,-5.671875,2
5f319b13e71f4c38d22be033,-15.1875,1.234375,-5.578125,2
5f319b13e71f4c38d22be034,-15.25,1.25,-5.59375,2
5f319b13e71f4c38d22be035,-15.5,1.515625,-4.953125,2
5f319b1de71f4c38d22be036,-14.3125,0.84375,0.203125,1
5f319b1de71f4c38d22be037,-11.28125,1.109375,5.4375,1
5f319b1de71f4c38d22be038,-17.921875,6.234375,-6.828125,1
5f319b1de71f4c38d22be039,-16.8125,-5.671875,-5.953125,1
5f319b1de71f4c38d22be03a,-16.234375,-1.96875,-2.859375,1
5f319b1de71f4c38d22be03b,-14.71875,-0.0625,-3.796875,1
5f319b1de71f4c38d22be03c,-15.8125,1.578125,-2.796875,1
